hour,plug,value
78,7,37177.28600000003
78,9,124.00600000000001
78,11,34027.065999999984
79,2,74192.1059999998
79,5,233860.15400000045
79,6,181730.26499999993
79,7,37257.03400000004
79,11,34359.880000000034
80,2,72044.11299999972
80,5,249118.6920000002
80,6,193465.29500000025
80,7,36765.51099999997
80,11,33710.64200000005
81,2,73141.5829999997
81,5,243152.15800000055
81,6,188826.68099999978
81,7,37100.73000000005
81,11,33980.60000000002
82,2,67400.90299999999
82,5,227252.9690000004
82,6,177439.16399999996
82,7,36986.72300000001
82,11,33825.5480000001
83,2,72736.52399999983
83,5,231977.677
83,6,180208.91800000027
83,7,37282.636000000144
83,11,34247.98900000003
84,2,19369.50199999983
84,5,228066.2140000004
84,6,177502.95499999978
84,7,37423.80900000006
84,11,34292.103000000054
85,2,7842.0810000000065
85,5,23680.004999999805
85,6,18528.633000000103
85,7,16050.794999999984
85,11,14671.99300000002
86,2,18134.325999999808
86,5,134635.63200000007
86,6,104903.40299999992
86,7,36407.173000000075
86,11,33509.69000000004
87,2,16962.564999999857
87,5,232742.25900000072
87,6,179953.96399999995
87,7,36680.03499999997
87,11,33623.61700000002
88,2,19745.626999999866
88,3,40878.13599999995
88,5,223507.49200000023
88,6,172998.13400000028
88,7,37418.196
88,11,34209.12499999998
89,0,17110.975999999977
89,2,72210.05699999975
89,3,37040.52600000003
89,4,11546.782000000005
89,5,222594.07200000054
89,6,173297.13500000027
89,7,36986.108000000015
89,8,67631.2310000001
89,9,25573.37000000002
89,11,34078.72400000015
90,0,24227.97700000002
90,2,71016.29299999992
90,3,16.057
90,4,59662.39100000022
90,5,228614.86900000004
90,6,177864.30700000003
90,7,35385.456000000035
90,8,95542.53399999987
90,9,57099.08099999991
90,11,32434.241000000125
91,0,12366.05599999999
91,2,72824.37799999981
91,3,17.04
91,4,54760.30400000009
91,5,235089.9070000007
91,6,182774.68799999976
91,7,36596.55400000006
91,8,48688.58900000006
91,9,43924.16899999982
91,11,33582.59100000005
92,2,49917.67299999993
92,3,17.368
92,4,6609.050999999998
92,5,179116.45300000024
92,6,139054.4690000002
92,7,33817.98699999988
92,9,37722.09199999982
92,11,30836.760999999937
93,2,49481.85299999995
93,3,20.286999999999995
93,4,26052.557000000033
93,5,42809.34900000009
93,6,33484.64099999995
93,7,33035.07399999998
93,9,32365.332000000017
93,11,30243.11800000002
94,2,49827.22199999997
94,3,9.184999999999999
94,5,3441.3839999999823
94,6,2679.7329999999947
94,7,33962.265999999945
94,9,5640.872000000041
94,11,31123.191000000013
95,2,24700.77599999986
95,3,14.238
95,5,3485.9969999999803
95,6,2717.974999999997
95,7,33806.946999999964
95,9,5807.283000000039
95,11,31018.331000000107
96,2,12381.143999999931
96,3,11.052999999999999
96,5,3310.9459999999813
96,6,2579.204999999998
96,7,33489.6719999999
96,9,5808.981000000037
96,11,30875.655000000053
97,2,12826.834999999966
97,3,13.033999999999997
97,5,3470.6579999999826
97,6,2691.2590000000005
97,7,33883.790999999896
97,9,5817.708000000036
97,11,31085.216000000015
98,2,12915.663999999952
98,3,21.657999999999994
98,5,3476.434999999978
98,6,2712.1439999999952
98,7,33076.60099999995
98,9,5686.475000000046
98,11,30305.891000000032
99,2,12623.735999999946
99,3,12.436999999999998
99,5,3381.64399999998
99,6,2626.594999999998
99,7,33587.796999999904
99,9,5805.961000000042
99,11,30721.452999999976
100,2,13262.706999999924
100,3,21.332
100,5,3492.8259999999805
100,6,2732.420999999994
100,7,33630.470999999954
100,9,5819.283000000035
100,11,30936.164000000055
101,2,13304.590999999933
101,3,11.956999999999997
101,5,3445.0899999999842
101,6,2690.3969999999904
101,7,33624.40899999993
101,9,5825.680000000053
101,11,30825.648
102,2,67469.61099999993
102,3,15.266000000000002
102,5,4625.711999999954
102,6,3600.0710000000026
102,7,36966.30300000004
102,9,5827.935000000045
102,11,33890.75400000005
103,0,10972.254999999994
103,2,4629.781000000009
103,3,6.763000000000001
103,5,4923.668999999959
103,6,3821.225999999998
103,7,36866.946000000054
103,8,43325.39499999993
103,9,5790.901000000045
103,11,33733.83900000008
104,0,7946.974999999997
104,3,13.545999999999996
104,5,4883.600999999944
104,6,3790.6920000000036
104,7,36809.47300000001
104,8,31436.51100000001
104,9,5653.049000000043
104,11,33732.62800000009
