hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
271,114316.34200000166,0,0,1,0,0,1,1,1,0,1,1
272,69065.90200000424,0,0,0,0,0,0,0,1,0,1,1
273,67781.34700000299,0,0,0,0,0,0,0,1,0,1,1
274,69792.10500000633,0,0,0,0,0,0,0,1,0,1,1
275,67420.64300000158,0,0,0,0,0,0,0,1,0,1,1
276,67946.08700000477,0,0,0,0,0,0,0,1,0,1,1
277,69475.7150000069,0,0,0,0,0,0,0,1,0,1,1
278,68211.50300000048,0,0,0,0,0,0,0,1,0,1,1
279,74434.08300000503,1,0,0,0,1,0,0,1,1,1,1
280,188958.9340000018,1,0,0,0,1,0,0,1,1,1,1
281,182811.8180000067,1,0,0,0,1,0,0,1,1,1,1
282,172078.89700001344,1,0,0,0,1,0,0,1,1,1,1
283,87247.5060000076,0,0,0,0,1,0,0,1,0,1,1
284,66745.89500001378,0,0,0,0,0,0,0,1,0,1,1
285,68552.89900000577,0,0,0,0,0,0,0,1,0,1,1
286,66770.81600000612,0,0,0,0,0,0,0,1,0,1,1
287,68986.28699999943,0,0,0,0,0,0,0,1,0,1,1
288,68304.30400000523,0,0,0,0,0,0,0,1,0,1,1
289,90473.8609999458,0,0,1,0,0,1,1,1,0,1,1
290,94661.47799994734,0,0,1,0,0,1,1,1,0,1,1
291,95222.99299996607,0,0,1,0,0,1,1,1,0,1,1
292,93322.94799999044,0,0,1,0,0,1,1,1,0,1,1
293,95370.97899997952,0,0,1,0,0,1,1,1,0,1,1
294,503361.7849999963,0,0,1,0,0,1,1,1,0,1,1
295,547543.8930000152,0,0,1,0,0,1,1,1,0,1,1
296,573786.0550000079,0,0,1,0,0,1,1,1,0,1,1
297,665531.841000015,0,0,1,0,0,1,1,1,0,1,1
298,550618.969999988,0,0,1,0,0,1,1,1,0,1,1
299,462211.5239999844,0,0,1,0,0,1,1,1,0,1,1
300,516139.36899998016,0,0,1,0,0,1,1,1,0,1,1
301,539553.3340000097,0,0,1,0,0,1,1,1,0,1,1
302,585982.5080000053,1,0,1,0,0,1,1,1,1,1,1
303,552648.236000006,1,0,1,0,0,1,1,1,1,1,1
304,560233.4940000133,0,1,1,0,0,1,1,1,0,1,1
305,645090.3670000125,0,1,1,0,0,1,1,1,0,1,1
306,579492.0550000174,0,1,1,0,0,1,1,1,0,1,1
307,410648.6790000074,0,1,1,0,0,1,1,1,0,1,1
308,216289.4380000098,0,1,1,0,0,1,1,1,0,1,1
309,142659.03999999035,0,0,1,0,0,1,1,1,0,1,1
310,174819.73999998838,0,1,1,0,0,1,1,1,0,1,1
311,133193.45799994728,0,1,1,0,0,1,1,1,0,1,1
312,123934.41499996172,0,1,1,0,0,1,1,1,0,1,1
313,180765.07899996545,0,1,1,0,0,1,1,1,0,1,1
314,98606.27299995867,0,1,1,0,0,1,1,1,0,1,1
315,157935.67699995803,0,1,1,0,0,1,1,1,0,1,1
316,148238.899999981,0,1,1,0,0,1,1,1,0,1,1
317,106261.40599997099,0,1,1,0,0,1,1,1,0,1,1
318,335772.96199999383,0,1,1,0,0,1,1,1,0,1,1
319,592228.9260000056,0,1,1,0,0,1,1,1,0,1,1
320,570250.6680000073,0,1,1,0,0,1,1,1,0,1,1
321,571680.245999985,0,1,1,0,0,1,1,1,0,1,1
322,515679.0669999766,0,0,1,0,0,1,1,1,0,1,1
323,324440.8429999788,0,1,1,0,0,1,1,1,0,1,1
324,136128.44999996465,0,1,1,0,0,1,1,1,0,1,1
325,128336.48099995978,0,1,1,0,0,1,1,1,0,1,1
326,183488.2079999562,0,1,1,0,0,1,1,1,0,1,1
327,108793.03999994414,0,1,1,0,0,1,1,1,0,1,1
328,158457.75799994523,0,1,1,0,0,1,1,1,0,1,1
329,166111.12699994486,0,1,1,0,0,1,1,1,0,1,1
330,95542.83099994835,0,0,1,0,0,1,1,1,0,1,1
331,186278.05899996514,0,1,1,0,0,1,1,1,0,1,1
332,139012.56799994758,0,1,1,0,0,1,1,1,0,1,1
333,125372.30699994267,0,1,1,0,0,1,1,1,0,1,1
334,185321.71499995998,0,1,1,0,0,1,1,1,0,1,1
335,131380.9649999701,0,1,1,0,0,1,1,1,0,1,1
336,149525.97199994785,0,1,1,0,0,1,1,1,0,1,1
337,165994.91699994047,0,1,1,0,0,1,1,1,0,1,1
338,97155.59099994457,0,0,1,0,0,1,1,1,0,1,1
339,181053.85999996628,0,1,1,0,0,1,1,1,0,1,1
